"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sebastian S.; Agustina M.S.","Sebastian, Shinta (59317649900); Agustina, M.S. (59317824300)","59317649900; 59317824300","Gamut of data mining incidental to fraud detection in the era of digital banking","2024","Business Analytics for Effective Decision Making","","","","123","130","1","10.2174/9789815238365124010014","https://www.scopus.com/pages/publications/85203321428?origin=resultslist","Rivals in the modern fintech space are fighting legacy banks from all sides and gradually dismantling the protective walls that have been up over the years. The banks and broader financial sector must deal with this fledgling innovation in digital banking as well as difficulties connected to payments, cash management, lending, and investment management. Credit cards, peer-to-peer lending networks, real-time payment systems, digital wallets, challenger banks, etc. are examples of such innovations in digital banking. At present new entrants to the banking ecosystem have a greater degree of independence. Due to seamless integration, mobile connectivity, data availability, trust-based transactions, cloud-physical infrastructure, scaling up the business, etc. have improved and the cost of acquiring and servicing clients has reduced. People around the world are frequently travelling, and making purchases than at any other time in the past. However, the shift of banking to digital channels has resulted in a revolution in financial fraud. In the current era, digital banking fraud is a big worldwide industry, where highly competent criminal gangs use ever-more- advanced and ever-sophisticated technology. They regularly collaborate with dishonest bank personnel to steal substantial sums of money. Data mining, artificial intelligence, and machine learning are being used to protect clients and the digitalized banking system against scammers and financial fraud. This study explicitly shows the scope of emerging data mining techniques for fraud detection and prevention in the modern era of digitalized banking. © 2024 Bentham Science Publishers. All rights reserved.","Data mining; Digitalized banking; Financial fraud; Fraud detection; Fraudsters","","Book chapter","Final","","Scopus","2-s2.0-85203321428"
"Jena A.R.; Sen S.K.; Mishra M.; Banerjee S.; Dey N.; Saha I.","Jena, Amrut Ranjan (57190225230); Sen, Santanu Kumar (56046595900); Mishra, Madhusmita (57219108361); Banerjee, Shrutarba (58696739000); Dey, Nupur (58694994100); Saha, Ipsita (57203209295)","57190225230; 56046595900; 57219108361; 58696739000; 58694994100; 57203209295","A comparative analysis of financial fraud detection in credit card by decision tree and random forest techniques","2023","AIP Conference Proceedings","2876","1","020006","","","3","10.1063/5.0166542","https://www.scopus.com/pages/publications/85176751089?origin=resultslist","The rapid evolution of the tools are the basis of the world to turn to use credit cards instead of cash in their daily life, which opens the door to many new ways for fraudulent people to use these cards in a bad way. In order to ensure the safety of users for these credit cards, the credit card's provider should provide a service to protect users from any risk they may face. This paper states financial fraud detection in credit card by applying machine learning classification algorithms. This model helps industries dealing with money transaction directly such as banking, insurance, etc. Credit card fraud detection is a pressing issue to resolve especially for the banking industry. Due to fraudulent activities towards revenue growth and loss of customer's trust has caused these industries to suffer extensively. So these companies need to find fraud transactions before it becomes a big problem for them. The target class distribution is not equally distributed in credit cards to see the fraud detection. It is popularly known as the class imbalance problem or unbalanced data issue. To analyze and find fraud in credit card, we are applying and comparing the results of two machine learning algorithms such as random forest and decision trees.  © 2023 Author(s).","","","Conference paper","Final","","Scopus","2-s2.0-85176751089"
"Narayan A.; Madhu Kumar S.D.; Chacko A.M.","Narayan, Abhay (57193602275); Madhu Kumar, S.D. (18233852400); Chacko, Anu Mary (56040154900)","57193602275; 18233852400; 56040154900","A Review of Financial Fraud Detection in E-Commerce Using Machine Learning","2023","Smart Innovation, Systems and Technologies","327","","","237","248","5","10.1007/978-981-19-7524-0_21","https://www.scopus.com/pages/publications/85149883925?origin=resultslist","Online shopping, banking, financial institutions, and government all use e-commerce. Fraudulent conduct is seen in a variety of industries and in our daily lives. The key to lowering losses is to create powerful and efficient fraud detection system. For the identification of fraud, a wide range of techniques and methods are used today. The machine learning methodologies utilized in e-commerce fraud detection, the weaknesses of such methods, and avenues for new research in this area are reported systematically in this review paper. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","","Crime; Electronic commerce; Daily lives; E- commerces; Financial fraud detections; Financial institution; Fraud detection; Fraud detection system; Machine-learning; Online shopping; Review papers; Machine learning","Conference paper","Final","","Scopus","2-s2.0-85149883925"
"Khang A.","Khang, Alex (58556605100)","58556605100","Shaping cutting-edge technologies and applications for digital banking and financial services","2025","Shaping Cutting-Edge Technologies and Applications for Digital Banking and Financial Services","","","","1","458","5","10.4324/9781003501947","https://www.scopus.com/pages/publications/85215353995?origin=resultslist","Cutting-edge technologies have recently shown great promise in a variety of activities for enhancing the existing services of a bank such as the improvement of transactions, ensuring that transactions are done correctly, and managing records of services of savings accounts, loan and mortgage services, wealth management, providing credit and debit cards, overdraft services and physical evidence as key drivers of bank ecosystem. In the financial world, emerging analytics and prediction tools can be used to analyze and visualize structured data, such as financial market data, and to forecast future trends that can be supported by leaders to make informed decisions about investment strategies. This book explores the importance of artificial intelligence (AI)-based predictive analytics tools in the financial services industry and their role in combating financial fraud. As fintech continues to revolutionize the financial landscape, it also brings forth new challenges, including sophisticated fraudulent activities. Therefore, this book shares the problem of enhancing fraud detection and prevention through the application of predictive analytics. This book contributes to a deeper understanding of the importance of predictive analytics in the finance field and its pivotal role in cybersecurity and combating fraud. It provides valuable insights for the financial services industry, researchers, and policymakers, aiming to fortify the security and resilience of financial systems in the face of evolving financial fraud challenges. Cuurently, AI has replaced recurrent intellectual decisions due to the availability of information and its access. These changes have created a revolution in financial operations resulting in environmental variations in the banking and finance sectors. Likewise, analytics transformed the not only finance field but also banking as it is increasing the transparency of lending-related activities. In addition, this book provides a set of tools for complex analyses of people-related data and through a variety of statistical analysis techniques ranging from simple descriptive statistics to machine learning, HR analytics enables performance evaluation and increases the transparency of finance transactions as well as the problems, advantages, and disadvantages of new digital transformation. The book is not merely a compilation of technical knowledge; it is a beacon of innovation that beckons readers to envision a future where cutting-edge technologies and finance services intertwine seamlessly. With its engaging and thought-provoking content, the book leaves an indelible impression, urging readers to embrace the transformative power of technology and embark on a collective mission to unlock the full potential of fintech for the betterment of humanity. © 2025 Alex Khang. All rights reserved.","","","Book","Final","","Scopus","2-s2.0-85215353995"
"Singh B.; Raghav A.; Ahmed S.; Arora M.K.; Lal S.","Singh, Bhupinder (58806881100); Raghav, Anjali (59383897400); Ahmed, Saquib (59676467500); Arora, Manmeet Kaur (59383487300); Lal, Sahil (59360871300)","58806881100; 59383897400; 59676467500; 59383487300; 59360871300","Smearing machine learning and deep learning in e-commerce transactions for monetary justice: Crushing financial frauds and fostering strong financial institutions","2025","Artificial Intelligence in Peace, Justice, and Strong Institutions","","","","303","320","2","10.4018/979-8-3693-9395-6.ch014","https://www.scopus.com/pages/publications/105000164083?origin=resultslist","Machine learning and deep learning techniques have emerged as powerful tools against several types of financial fraud. The banking and financial industry, a fundamental component of contemporary economies, is experiencing a significant upheaval due to the rise of digital transactions. This transition has resulted in an increase in financial fraud, necessitating a fundamental change in security standards. The use of advanced analytics, such as anomaly detection and pattern recognition, is examined to establish a strong defense against the continually changing strategies used by fraudulent entities in the ad click sector. Credit card management, a constant target for nefarious actions, necessitates an advanced strategy for fraud detection. This chapter examines AI-based document verification systems, highlighting their crucial role in safeguarding transactions reliant on document authentication. It addresses issues related to falsified documentation through novel methods, including the integration of blockchain technology with AI. © 2025, IGI Global Scientific Publishing. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-105000164083"
"Preciado Martínez P.M.; Reier Forradellas R.F.; Garay Gallastegui L.M.; Náñez Alonso S.L.","Preciado Martínez, Pedro María (59702906100); Reier Forradellas, Ricardo Francisco (57219174537); Garay Gallastegui, Luis Miguel (59702906200); Náñez Alonso, Sergio Luis (57216823311)","59702906100; 57219174537; 59702906200; 57216823311","Comparative analysis of machine learning models for the detection of fraudulent banking transactions","2025","Cogent Business and Management","12","1","2474209","","","9","10.1080/23311975.2025.2474209","https://www.scopus.com/pages/publications/105000808193?origin=resultslist","This research presents a comparative analysis of machine learning models for detecting fraudulent banking transactions, a growing problem in the digital financial sector. The aim is to evaluate and determine the most effective model for identifying suspicious transactions, overcoming the challenge of a highly imbalanced dataset. Using data from 565,000 real-world transfers, models based on algorithms such as Random Forest, Neural Networks and Naive Bayes were built and tested. Of these, the Random Forest model proved to be the most robust, achieving 100% accuracy for legitimate transactions and 95.79% accuracy for fraud detection. This level of accuracy reinforces its viability for implementation in real-time banking systems. This result underlines the feasibility of integrating such a model into banking systems for real-time analysis, allowing the interception of dubious transactions. This capability would drastically reduce exposure to financial fraud, optimizing transaction security without compromising operational fluidity. In addition, limitations were identified and future approaches discussed, including oversampling techniques and adjusting class weights to improve detection in unbalanced datasets. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Algorithms & Complexity; Artificial Intelligence; bank transfers; Banking industry; Finance; fraud detection; machine learning models; Neural Networks; Random Forest algorithms; risk","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000808193"
"Khan S.; Savariapitchai M.; Mahalle A.; Fardale S.; Pharkar M.; Hedau P.","Khan, Shaista (59558710800); Savariapitchai, Michael (59493297600); Mahalle, Amruta (59558608200); Fardale, Shyam (59558235600); Pharkar, Mayuri (59558295100); Hedau, Pravin (59558164900)","59558710800; 59493297600; 59558608200; 59558235600; 59558295100; 59558164900","AI-Driven Approaches to Financial Fraud Detection in Banks: A Research Perspective","2024","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry, IDICAIEI 2024","","","","","","0","10.1109/IDICAIEI61867.2024.10842921","https://www.scopus.com/pages/publications/85217832964?origin=resultslist","Artificial Intelligence (AI) has changed the way we do business and is unquestionably a compelling aspect of the modern world. Every industry is impacted by technology, which is also vital to service delivery. Thanks to technological improvements, the banking and financial services sectors are able to leverage a variety of perspectives and resources that give them a competitive advantage in the fiercely competitive corporate world. The number of fraud cases has decreased thanks in large part to the use of AI-based products and services as Teradata, Feedzai, Riskified, Clari5, Razorpay Third Watch, AdvaRisk, Kount, and others. At the same time, the effectiveness and efficiency of business processes have increased.  © 2024 IEEE.","Algorithms; Artificial Intelligence; Finance; Fraud Detection; Machine Learning","Adversarial machine learning; Crime; Decentralized finance; Banking services; Competitive advantage; Corporate world; Financial fraud detections; Financial services sector; Fraud detection; Large parts; Machine-learning; Service delivery; Technological improvements; Competition","Conference paper","Final","","Scopus","2-s2.0-85217832964"
"Shah S.B.","Shah, Sagar Bharat (59565791300)","59565791300","Advancing Financial Security with Scalable AI: Explainable Machine Learning Models for Transaction Fraud Detection","2025","4th IEEE International Conference on Distributed Computing and Electrical Circuits and Electronics, ICDCECE 2025","","","","","","6","10.1109/ICDCECE65353.2025.11034838","https://www.scopus.com/pages/publications/105009590309?origin=resultslist","Background: The banking industry faces a critical challenge in maintaining data integrity while leveraging artificial intelligence (AI) for fraud detection, as financial fraud poses substantial risks to individuals and institutions. However, existing fraud detection systems often struggle with imbalanced datasets and lack of interpretability. Methods Used: This study employs machine learning (ML) techniques using the Financial Fraud Detection Dataset from Kaggle, incorporating data preprocessing, feature engineering, and class balancing. Models such as Random Forest (RF), AdaBoost, LightGBM (LGBM), and a Voting Classifier are trained and optimized using GridSearchCV for enhanced accuracy. Results Achieved: LGBM achieves the highest accuracy (90.20%), followed by the Voting Classifier (90.02%), while RF and AdaBoost record 89.26% and 88.37%, respectively. SHAP analysis provides insights into feature importance, enhancing model interpretability. Concluding Remarks: Financial institutions may rest easy knowing that explainable AI approaches provide openness and dependability due to the results showing that ensemble learning models work well for fraud detection.  © 2025 IEEE.","AI-driven fraud prevention; digital payments; financial fraud detection; financial fraud detection dataset; fraudulent transactions; LIME; machine learning; regulatory compliance; SHAP","Balancing; Classification (of information); Crime; Electronic money; Finance; Learning systems; Machine learning; Artificial intelligence-driven fraud prevention; Digital payment; Financial fraud detection dataset; Financial fraud detections; Fraud detection; Fraud prevention; Fraudulent transactions; Machine-learning; SHAP; Regulatory compliance","Conference paper","Final","","Scopus","2-s2.0-105009590309"
"Hasan M.; Hoque A.; Le T.","Hasan, Morshadul (57210554019); Hoque, Ariful (24474874600); Le, Thi (57221207779)","57210554019; 24474874600; 57221207779","Big Data-Driven Banking Operations: Opportunities, Challenges, and Data Security Perspectives","2023","FinTech","2","3","","484","509","19","10.3390/fintech2030028","https://www.scopus.com/pages/publications/85182092670?origin=resultslist","At present, with the rise of information technology revolution, such as mobile internet, cloud computing, big data, machine learning, artificial intelligence, and the Internet of Things, the banking industry is ushering in new opportunities and encountering severe challenges. This inspired us to develop the following research concepts to study how data innovation impacts banking. We used qualitative research methods (systematic and bibliometric reviews) to examine research articles obtained from the Web of Science and SCOPUS databases to achieve our research goals. The findings show that data innovation creates opportunities for a well-developed banking supply chain, effective risk management and financial fraud detection, banking customer analytics, and bank decision-making. Also, data-driven banking faces some challenges, such as the availability of more data increasing the complexity of service management and creating fierce competition, the lack of professional data analysts, and data costs. This study also finds that banking security is one of the most important issues; thus, banks need to respond to external and internal cyberattacks and manage vulnerabilities. © 2023 by the authors.","banking decision; banking operation; big data in banking; data-driven banking; industrial operation; risk management","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85182092670"
"Singh D.; Chattopadhyay R.","Singh, Dhanveer (60344031500); Chattopadhyay, Raja (60344941400)","60344031500; 60344941400","Federated machine learning for cross-bank credit card fraud detection: A privacy-preserving framework","2026","African Journal of Science, Technology, Innovation and Development","18","1","","96","107","0","10.1080/20421338.2025.2601669","https://www.scopus.com/pages/publications/105028199783?origin=resultslist","Federated machine learning is a solution to the problem of identifying instances of credit card fraud in any bank without violating privacy laws. The framework proposed in this paper any bank without violating privacy laws. The framework proposed in this paper introduces a privacy-preserving model that combines Federated Machine Learning (FML) with cutting-edge techniques such as differential privacy, homomorphic encryption, and secure multi-party computation (SMPC). The framework, which uses simulated financial transaction data sourced from publicly accessible datasets (IEEE-CIS and PaySim), trains local models at each financial organization and aggregates them into one global model. The system proposed can detect fraud 5–10% better than traditional single-bank models while at the same time providing high privacy standards. The usage of SMPC and homomorphic encryption avoids sensitive data sharing while differential privacy secures the system against data leakage in case of an attack. The nature of the results of the proposed system have encouraged regulatory authorities to pursue the route of the federated learning framework to detect fraud while simultaneously remaining on the right side of privacy laws like GDPR and DPDP. This framework is suitable for the banking sector and other industries that encounter similar privacy and security problems because of its adaptability to changing data protection legislation. The integration of multiple privacy-preserving technologies into a federated system for financial fraud detection is a significant contribution of this research. © 2026 African Journal of Science, Technology, Innovation and Development.","credit card fraud detection; cross-bank collaboration; differential privacy; federated machine learning; real-time fraud analytics; secure multi-party computation","","Article","Final","","Scopus","2-s2.0-105028199783"
